Program_Code,Quality,Sustainability
AD1320,7.02,5.45
AD1330,7.02,5.45
AD1530,6.53,4.87
AD1380,5.3,4.6
AD1260,4.5,4.43
AD1400,4.76,3.73
AD1370,3.56,3.29
AD1390,3.52,3.31
AD0950,6.28,7.17
AD1090,6.53,7.12
AD1100,6.53,7.12
AD1110,6.62,6.4
AD1050,6.1,6.3
AD1160,6.83,6.09
AD0960,5.76,5.76
AD1130,5.25,6.51
AD1000,4.64,6.09
AD1080,4.81,5.78
AD1070,5.11,5.72
AD0990,3.72,5.57
AD1140,3.67,4.65
AD1060,4.33,2.97
AD1020,4.79,5.31
AD0970,5.18,5.46
AD0980,5.23,5.62
AD1120,5.48,5.33
AD1010,5,5.14
AD1030,5.74,5.57
AD0940,5.94,5.56
AD1040,5.99,4.73
AD0600,6.56,7.3
AD1300,8.38,6.7
AD1410,7.76,6.35
AD1440,7.35,6.32
AD1340,7.5,6.16
AD1240,7.97,5.86
AD1270,6.18,5.84
AD1310,6.67,5.66
AD1230,6.84,5.61
AD1250,7.3,4.96
AD1540,6.1,4.68
AD1200,4.99,5.31
AD1450,4.77,5.18
AD1280,4.65,5.01
AD1360,3.6,4.78
AD1290,2.12,4.65
AD1460,5.33,4.13
AD1210,4.13,2.87
AD1430,2.66,1.82
AD0070,6.56,7.33
AD0100,7.34,6.75
AD0110,6.47,6.74
AD0090,6.42,6.74
AD0140,4.4,5.8
AD0130,3.56,5.02
AD0120,2.36,4.16
AD0150,2.64,3.96
AD0080,1.85,2.18
AD0820,7.03,7.71
AD0760,7.89,6.94
AD0750,7.24,6.58
AD0770,6.93,6.21
AD0810,5.8,6.54
AD0780,6.16,6.4
AD0800,6.05,5.89
AD0790,6.74,5.57
AD0900,6.56,7.39
AD0910,6.7,5.96
AD0870,4.15,6.29
AD0860,5.12,5.91
AD0920,4.08,5.84
AD0840,4.13,5.68
AD0850,4.49,5.24
AD0830,4.27,5.24
AD0880,4.03,5.24
AD0890,3.91,4.86
AD1480,6.41,5.87
AD1470,5.96,5.55
AD1510,5.43,4.73
AD1500,4.95,5.53
AD1490,3.32,5.72
AD0670,6.68,7.43
AD0710,6.22,6.78
AD0740,6.52,6.55
AD0700,5.86,6.24
AD0620,6.87,5.8
AD0680,5.33,5.89
AD0720,4.24,5.94
AD0730,4.55,5.66
AD0660,5.64,5.61
AD0640,5.49,5.4
AD0630,4.55,5.21
AD0690,3.78,4.87
AD0050,6.06,6.99
AD0060,5.8,6.85
AD0020,6.68,6.8
AD0010,6.73,6.46
AD0035,5.32,5.38
AD0400,4.45,3.8
AD0440,4.28,5.04
AD0390,5.18,4.86
AD0410,5.54,4.94
AD0460,5.91,6.58
AD0420,6.59,5.97
AD0480,7.04,6.58
AD0450,7.32,6.54
AD0430,7.71,6.58
AD0370,8.14,6.81
AD0160,7.76,7.17
AD0380,7.1,7.13
AD1190,4.98,5.26
AD0930,6.06,5.31
AD1150,4.96,6.24
AD0570,6.33,6.31
AD0580,6.78,6.73
AD0590,7.57,6.64
AD1180,7.78,6.71
AD1170,7.3,7.25
AD0560,2.58,6.24
AD0550,7.99,7.12
AD0500,6.68,6.68
AD0490,6.59,5.9
AD0170,5.8,5.57
AD0180,6.59,5.78
AD0190,6.28,6.79
AD0200,5.11,5.89
AD0210,5.04,6.11
AD0220,5.02,6.41
AD0230,5.54,4.91
AD0240,6.74,6.86
AD0250,6.85,6.29
AD0260,5.86,5.96
AD0270,6.42,7.17
AD0280,4.87,4.82
AD0290,7.21,6.1
AD0300,7.16,6.2
AD0310,7.11,6.54
AD0320,5.81,6.49
AD0331,4.34,4.96
AD0332,5.27,5.36
AD0340,5.43,6.59
AD0350,7.32,5.31
